STRIP_NO,STAND_NO,kmCal,kmAct,STRAINRATE_POST,KM,STRAIN_RATE
7447975300,4,181.1832,188.0778,61.76815,179.8948,61.83194
7447975300,5,203.0273,189.4096,112.1206,200.9851,104.8842
7447975300,6,205.8558,201.9929,120.5502,203.4187,122.5285
7447975300,7,238.5182,229.8204,103.4328,235.521,103.2237
7447975400,1,119.2731,118.2925,9.221728,119.3188,9.212692
7447975400,2,138.0722,125.874,22.2348,137.7581,21.70931
7447975400,3,157.6335,161.2032,44.99999,156.8163,44.19993
7447975400,4,183.4913,195.5027,66.05486,181.7595,64.43786
7447975400,5,197.5052,192.0263,114.6263,195.5725,109.2967
7447975400,6,200.3004,204.1307,130.5135,198.0709,127.677
7447975400,7,237.9274,255.4975,106.7065,234.897,107.5587
7447976600,1,122.9838,116.124,8.24988,123.0425,8.188708
7447976600,2,138.6242,116.7281,23.0085,137.7924,21.65487
7447976600,3,151.5671,162.663,39.74084,150.6614,41.11855
7447976600,4,185.9225,200.4338,58.0806,184.5892,58.65842
7447976600,5,199.305,191.3272,102.4708,197.6588,97.67292
7447976600,6,201.1793,202.0646,111.7678,199.1756,112.6816
7447976600,7,238.445,239.343,94.72353,238.2304,94.35678
7447977100,1,123.8797,124.0128,7.347188,123.9367,7.291881
7447977100,2,140.9357,120.7763,20.20403,140.2771,19.07299
7447977100,3,145.7063,166.9385,35.12717,144.3694,36.34975
7447977100,4,178.5248,204.8006,51.92233,177.6626,53.533
7447977100,5,191.9163,196.2444,90.7445,191.7535,88.86166
7447977100,6,202.2826,212.1739,109.4781,201.524,105.9526
7447977100,7,238.7595,245.3504,99.70867,237.5376,100.7137
7447977200,1,124.5003,128.9481,8.432868,124.5432,8.386525
7447977200,2,143.3746,126.7955,21.8237,142.5762,20.69249
7447977200,3,145.3651,164.5891,36.12793,145.1575,38.87976
7447977200,4,177.4859,196.0894,54.75494,176.9585,55.49527
7447977200,5,205.3833,189.6951,97.81823,204.0587,90.27819
7447977200,6,203.5883,199.7175,105.2982,201.5319,101.9203
7447977200,7,239.9106,242.1856,90.9407,237.5826,98.38824
7448470100,1,125.2981,128.2104,8.102879,125.2433,7.990214
7448470100,2,147.7402,139.115,17.53771,147.8614,17.59073
7448470100,3,161.5139,156.0842,37.5084,160.1966,35.16137
7448470100,4,187.0667,199.1802,50.1161,186.2492,51.67448
7448470100,5,206.0793,208.7934,86.00489,204.826,84.57019
7448470100,6,211.4171,194.6701,103.8755,210.2066,101.7946
7448470100,7,258.5325,258.2888,82.61786,256.1077,92.7746
7448470200,1,127.7484,138.4066,8.06424,127.6949,7.990119
7448470200,2,148.446,142.2772,17.96317,148.1994,17.59057
7448470200,3,155.7364,163.5957,35.07143,155.345,35.16115
7448470200,4,189.1197,203.234,52.10021,188.717,51.67436
7448470200,5,207.1745,212.4949,86.36957,205.9412,84.57013
7448470200,6,212.5852,215.5573,103.481,211.068,101.7947
7448470200,7,260.0525,241.1566,95.53147,257.3672,92.77464
7448470300,1,118.0435,130.5225,8.035052,117.9906,7.986576
7448470300,2,138.1792,136.8132,17.70087,138.2015,17.58543
7448470300,3,156.6687,156.9459,35.58581,156.4045,35.15543
7448470300,4,190.8948,193.8353,53.56276,189.6604,51.67012
7448470300,5,209.5186,211.3544,86.98549,207.5394,84.56909
7448470300,6,214.4866,213.8373,103.2558,212.3103,101.7984
7448470300,7,266.4432,246.7891,93.83489,263.1655,92.78059
7448470600,1,123.3048,122.4255,8.132402,123.3002,8.052681
7448470600,2,129.9665,128.2335,16.83201,129.7908,16.80758
7448470600,3,143.5503,151.8892,31.36938,143.2221,31.612
7448470600,4,182.9194,188.0074,46.61616,182.2865,46.25963
7448470600,5,194.2342,190.7023,79.92926,193.2939,77.19026
7448470600,6,203.3712,201.055,94.82213,202.3398,95.16087
7448470600,7,235.1715,222.6556,91.72534,232.0509,90.9664
7448470700,1,123.5913,128.7287,8.079638,123.583,8.048378
7448470700,2,132.6083,134.7786,16.65894,132.7175,16.80156
7448470700,3,145.2032,156.7806,31.88415,144.7096,31.60529
7448470700,4,183.8831,189.9817,46.86387,183.0935,46.25454
7448470700,5,193.9958,194.0614,79.25755,193.0011,77.18859
7448470700,6,203.2171,208.0217,95.76042,202.0978,95.16489
7448470700,7,231.6369,245.6124,90.47235,230.1472,90.97363
7448471000,1,123.6814,126.4422,8.206472,123.7042,8.164895
7448471000,2,138.2389,135.5113,18.49688,138.0706,18.23389
7448471000,3,150.4893,162.4528,36.40351,149.9512,36.30607
7448471000,4,183.2717,200.0329,53.9822,182.4959,53.98227
7448471000,5,195.9442,207.7202,91.12013,194.813,89.27556
7448471000,6,209.8715,213.3414,114.0783,208.2457,109.3155
7448471000,7,231.7357,239.0318,98.82236,229.1733,96.91617
7448471100,1,118.4512,128.7967,9.116049,118.4821,9.124778
7448471100,2,141.8268,136.0694,20.81433,141.7659,20.3752
7448471100,3,152.7622,159.942,40.69366,152.2918,40.56594
7448471100,4,180.4975,203.7388,58.97134,179.837,60.31256
7448471100,5,198.4963,206.6044,104.7199,196.7579,99.73943
7448471100,6,202.8375,198.476,126.8691,200.6462,122.1237
7448471100,7,229.7348,220.2414,101.2708,225.8831,108.2697
7449270300,1,127.3602,150.0742,9.544746,127.3675,9.512813
7449270300,2,144.1058,142.3865,21.17936,144.0041,20.94839
7449270300,3,167.9913,168.4484,42.41267,167.5204,41.89578
7449270300,4,186.0135,194.1884,63.74582,184.9003,62.00202
7449270300,5,199.6697,214.7139,102.7513,198.0998,101.5943
7449270300,6,210.2238,204.7094,127.6791,208.2639,119.9834
7449270300,7,256.8321,268.9751,99.73189,252.9435,109.5877
7449270400,1,125.2332,141.5064,8.039952,125.2724,7.993246
7449270400,2,144.4856,140.8311,17.98438,144.06,17.59531
7449270400,3,151.6019,170.0634,34.63972,151.1826,35.17832
7449270400,4,184.7337,193.6795,55.01589,183.4067,52.04896
7449270400,5,200.9406,227.1844,84.98028,199.7598,85.26974
7449270400,6,204.9512,240.9937,104.6558,203.3844,100.6912
7449270400,7,248.8796,287.7412,96.53946,244.5108,91.96053
7449270500,1,130.8385,136.2491,9.842775,130.8891,9.807368
7449270500,2,139.1113,138.5311,21.63674,139.1281,21.69606
7449270500,3,153.3047,158.2663,41.52533,153.9493,42.87776
7449270500,4,187.9106,185.063,66.85498,186.7837,63.85572
7449270500,5,205.175,206.3083,111.8387,202.3981,105.2597
7449270500,6,196.0436,192.698,125.9243,193.3764,126.0658
7449270500,7,231.1787,228.0854,98.18254,227.2099,111.8228
7449270700,1,129.6107,138.8329,9.824605,129.6559,9.802452
7449270700,2,151.9922,140.2788,22.09365,151.9598,21.68888
7449270700,3,162.685,160.1606,42.39627,162.547,42.86941
7449270700,4,199.3807,183.642,69.24134,197.4805,63.84939
7449270700,5,200.8422,207.9147,109.3547,197.8526,105.2576
7449270700,6,208.8573,195.3353,132.9261,206.6623,126.0704
7449270700,7,245.308,237.7304,101.9207,242.3849,111.8304
7449271400,1,142.2184,156.9042,9.771173,142.2677,9.873669
7449271400,2,154.7472,160.2496,22.86123,155.0896,23.07062
7449271400,3,182.0786,180.796,47.58389,181.5944,46.29224
7449271400,4,215.1075,212.6883,70.77718,213.5752,67.60274
7449271400,5,223.556,240.9067,111.2158,222.2795,112.9622
7449271400,6,252.7871,268.6567,138.9762,252.2791,131.8262
7449271400,7,288.3869,286.273,113.0315,286.5073,109.4502
7449870200,1,123.4732,144.5054,7.896887,123.4477,7.927988
7449870200,2,137.5822,170.0279,17.77777,138.024,18.56984
7449870200,3,146.0471,158.1032,35.51684,146.6527,35.74271
7449870200,4,181.1677,196.616,50.05647,181.8922,51.89368
7449870200,5,202.9344,187.5242,94.91946,201.0941,85.36566
7449870200,6,207.9744,173.9658,102.7985,205.9509,101.3033
7449870200,7,248.8056,252.2481,82.48067,245.7888,93.13253
7449870300,1,121.1124,126.8746,7.608739,121.1178,7.563091
7449870300,2,127.9,139.3632,15.88259,127.9404,16.2823
7449870300,3,139.3367,142.2948,27.97407,139.4245,28.08708
7449870300,4,172.2608,179.7752,35.92682,172.2936,36.84803
7449870300,5,183.4713,169.6863,63.77123,182.3876,60.03722
7449870300,6,184.1506,174.5189,69.57175,182.7853,67.6532
7449870300,7,240.6803,240.0963,61.08582,238.2629,61.52919
7449870400,1,129.1548,133.9449,7.637951,129.1557,7.560706
7449870400,2,139.863,147.69,15.91303,139.827,16.27904
7449870400,3,146.7622,149.8544,27.93466,146.6929,28.08392
7449870400,4,173.8147,185.3811,36.34653,173.6295,36.84607
7449870400,5,180.6811,172.3859,62.39566,179.9808,60.03714
7449870400,6,181.9804,180.8157,70.23662,180.9408,67.65548
7449870400,7,239.7928,256.4773,62.64298,237.5775,61.53246
7449870500,1,120.0622,134.4056,8.847544,120.1008,8.849687
7449870500,2,141.6163,147.4355,17.95334,141.7543,17.98872
7449870500,3,156.8707,152.2192,31.59855,156.9476,31.93627
7449870500,4,176.1958,184.7211,41.09224,176.0234,42.14325
7449870500,5,194.4138,174.4919,79.01843,192.2791,69.02877
7449870500,6,207.6783,166.4723,79.04742,204.3483,78.06546
7449870500,7,236.8401,243.4587,59.48109,233.2319,71.14236
7449870600,1,130.806,129.8938,7.776009,130.7944,7.69459
7449870600,2,140.3043,145.8957,15.34325,140.3363,15.64135
7449870600,3,147.6911,149.5055,27.82238,147.549,27.76972
7449870600,4,176.1187,186.2775,36.47817,175.8481,36.64569
7449870600,5,180.217,172.1394,62.6233,179.3199,60.02507
7449870600,6,182.537,180.9559,69.55249,181.3239,67.88383
7449870600,7,243.0368,247.1199,64.56033,240.8058,61.86404
7449870700,1,130.5059,131.3573,7.758021,130.5147,7.706147
7449870700,2,140.9621,146.5721,15.42229,140.9899,15.65657
7449870700,3,147.8394,149.9362,27.97859,147.6008,27.78472
7449870700,4,177.6785,188.3594,36.90943,177.0275,36.65532
7449870700,5,178.8596,173.4815,61.92518,177.819,60.02574
7449870700,6,182.0685,186.0367,69.80356,180.7284,67.87299
7449870700,7,243.3861,254.8556,64.00216,240.9313,61.84822
7449870800,1,134.7919,137.969,8.870163,134.8183,8.839107
7449870800,2,142.4358,153.6063,17.75167,142.4115,17.97475
7449870800,3,149.5912,154.8398,31.74869,149.613,31.92246
7449870800,4,177.0191,194.9024,41.80965,176.6224,42.13437
7449870800,5,183.3856,175.5309,71.66992,182.4374,69.02801
7449870800,6,193.6983,187.0967,81.20337,192.2084,78.07524
7449870800,7,220.2024,238.9014,69.83432,217.9416,71.15669
7449873100,1,127.4545,124.0676,6.649149,127.4013,6.549902
7449873100,2,143.3366,134.7149,11.93708,143.4254,11.82758
7449873100,3,150.7721,140.4332,19.96599,150.081,19.50105
7449873100,4,165.0112,167.623,24.14651,164.371,24.79019
7449873100,5,170.2977,170.6269,40.02752,169.2498,38.93472
7449873100,6,196.217,187.8949,47.5687,194.8866,46.13441
7449873100,7,232.876,212.1788,48.79818,230.7184,45.666
7449873200,1,133.3396,129.3791,7.93271,133.3664,7.83065
7449873200,2,147.4403,143,14.64892,147.5727,14.8184
7449873200,3,152.012,147.6485,25.43788,151.4668,24.99359
7449873200,4,169.8523,175.4257,33.16581,169.1253,33.0682
7449873200,5,182.2146,171.2952,55.82984,180.994,53.56452
7449873200,6,186.6194,183.4836,61.46196,185.1611,60.83625
7449873200,7,239.9849,220.8947,59.7344,237.6702,56.71869
7449873300,1,126.018,125.4287,8.13537,126.0347,8.074169
7449873300,2,134.2457,136.9314,16.1538,134.3321,16.35867
7449873300,3,141.5844,142.9674,30.86183,141.0799,30.28375
7449873300,4,178.7119,181.7506,43.65427,177.9893,44.64798
7449873300,5,187.3471,173.1731,74.1889,186.5943,70.43269
7449873300,6,197.0675,194.3455,86.29151,195.6701,82.97115
7449873300,7,217.4455,227.546,81.79684,215.2279,81.6273
7449873400,1,126.2718,125.0275,8.144814,126.297,8.079918
7449873400,2,141.7436,138.3332,16.3536,141.6855,16.36648
7449873400,3,142.2933,142.72,31.16327,141.6481,30.29214
7449873400,4,178.5075,182.0215,44.70245,177.4447,44.654
7449873400,5,184.3566,173.2182,72.29218,183.4836,70.43406
7449873400,6,195.6451,191.1403,86.44651,194.2948,82.96603
7449873400,7,218.0134,235.1676,82.63805,215.6974,81.61819
7449874100,1,116.4733,127.6376,9.358014,116.5323,9.523613
7449874100,2,137.8905,142.4981,22.87077,138.191,22.87822
7449874100,3,166.9501,164.7991,45.8516,166.5134,43.54232
7449874100,4,202.0818,215.8024,65.34134,201.2539,67.26762
7449874100,5,200.5168,208.9806,101.3183,199.0161,100.6191
7449874100,6,241.2892,224.454,132.4625,239.2161,121.1749
7449874100,7,279.4128,256.829,113.8692,276.2593,121.6907
7449874200,1,124.7667,124.2572,9.954905,124.7842,9.940621
7449874200,2,139.3088,138.8791,22.55894,139.2929,22.52514
7449874200,3,167.2723,161.4078,40.78256,166.5045,38.87101
7449874200,4,196.8783,214.982,59.73334,195.5019,60.29021
7449874200,5,215.5843,214.4099,110.1788,213.7443,107.1207
7449874200,6,239.5126,228.3171,131.5808,236.6989,121.7611
7449874200,7,276.8095,265.6876,117.2035,272.9027,122.8058
7449874300,1,133.3618,127.5538,7.975434,133.3152,7.894067
7449874300,2,139.2789,138.6953,20.4358,139.099,20.45699
7449874300,3,169.9052,160.7944,41.17574,169.1403,39.62145
7449874300,4,198.2552,215.549,58.53024,197.2285,60.04436
7449874300,5,213.6304,215.8254,110.9482,212.6992,109.1152
7449874300,6,225.6345,227.5309,135.8807,223.9502,127.8569
7449874300,7,277.7698,266.3764,115.6698,274.6472,114.7989
7449874700,1,120.3256,112.9644,9.602926,120.2738,9.567551
7449874700,2,136.5551,138.3179,25.18415,136.5298,25.38543
7449874700,3,158.7733,164.418,46.04403,158.5279,44.49123
7449874700,4,193.2405,210.6359,66.05624,192.1078,66.45113
7449874700,5,205.0199,205.4192,123.3011,203.8212,124.5068
7449874700,6,209.0837,215.4607,160.6119,207.5049,146.5698
7449874700,7,250.8472,241.4092,148.921,247.54,147.3419
7449874800,1,111.5726,112.859,9.439168,111.6426,9.551148
7449874800,2,135.1036,128.4867,25.85231,135.0651,25.35894
7449874800,3,152.078,166.9843,44.35618,151.9874,44.46324
7449874800,4,190.4319,207.9394,66.91956,189.5836,66.4281
7449874800,5,209.2932,207.016,124.8438,208.2462,124.4983
7449874800,6,211.6144,213.5842,156.4226,209.743,146.5857
7449874800,7,246.8824,219.546,145.8827,243.9254,147.3736
7449874900,1,108.1548,111.3304,9.390497,108.1608,9.448779
7449874900,2,132.2039,128.3851,24.83701,132.2856,24.74629
7449874900,3,161.2417,169.1826,46.41273,161.401,45.98995
7449874900,4,193.5796,205.2123,69.63061,192.1887,66.89973
7449874900,5,207.5,203.8746,128.7578,205.6578,124.6777
7449874900,6,210.746,210.467,154.5687,208.026,146.2675
7449874900,7,241.2363,217.9049,133.8233,237.7624,146.7354
7449875000,1,108.7104,110.5606,9.417202,108.6793,9.418577
7449875000,2,131.8998,129.6618,24.73067,131.8614,24.69739
7449875000,3,162.6881,172.3657,46.43372,162.7848,45.93648
7449875000,4,195.6212,205.3138,69.60862,194.3927,66.85705
7449875000,5,208.4162,204.3927,129.2568,206.615,124.6616
7449875000,6,211.1459,208.7476,155.9451,208.7796,146.2964
7449875000,7,238.6,214.3801,132.6836,235.4266,146.7932
7449875100,1,111.9406,108.3765,9.690411,111.8853,9.599341
7449875100,2,133.2345,128.035,25.62461,133.0838,25.2635
7449875100,3,166.0087,175.9542,45.41193,165.671,45.24987
7449875100,4,193.6039,201.4475,69.79672,192.1857,66.78081
7449875100,5,205.1958,200.3216,124.1953,203.3522,119.9974
7449875100,6,214.2315,209.9828,157.3473,211.4712,143.2583
7449875100,7,236.8686,215.1684,145.8952,233.0451,150.2568
7449875200,1,107.7924,107.2037,9.659991,107.7972,9.648864
7449875200,2,134.4987,122.7946,26.056,134.2985,25.34322
7449875200,3,153.4203,160.5178,46.02126,152.602,45.33454
7449875200,4,197.1812,203.8578,69.67274,195.2354,66.84893
7449875200,5,204.5959,200.8811,124.4716,202.2286,120.0246
7449875200,6,197.6296,202.7905,152.8018,195.8438,143.2151
7449875200,7,262.9756,223.0001,158.2481,259.9153,150.1608
7449875300,1,108.5153,105.6849,9.677855,108.5004,9.632873
7449875300,2,133.6582,124.7638,25.6101,133.536,25.3175
7449875300,3,152.959,158.6064,45.81996,152.3573,45.30713
7449875300,4,196.0942,205.5728,68.95189,194.6386,66.82685
7449875300,5,204.8457,204.1953,123.4534,203.0393,120.0157
7449875300,6,200.159,207.0628,150.9514,197.7599,143.2289
7449875300,7,259.2528,218.6061,155.4724,255.4288,150.1916
7449875400,1,111.4007,107.2744,9.692143,111.3397,9.594291
7449875400,2,132.2234,127.7715,25.21493,132.2045,25.25537
7449875400,3,155.7991,161.1421,46.03809,155.2876,45.24089
7449875400,4,199.9583,208.5338,69.25546,198.5323,66.77343
7449875400,5,205.1775,206.0651,122.9566,203.3649,119.9938
7449875400,6,215.6193,218.0169,154.4395,212.9678,143.262
7449875400,7,262.8757,223.1898,150.6515,258.9157,150.2663
7449875500,1,109.4689,106.5969,9.680348,109.4456,9.625773
7449875500,2,130.1964,124.0314,25.58263,130.038,25.30608
7449875500,3,154.6061,156.218,45.92485,154.1151,45.29496
7449875500,4,198.8858,207.0648,69.30613,197.324,66.81705
7449875500,5,204.9646,205.3065,124.4763,202.9023,120.0117
7449875500,6,201.1389,208.8279,152.6063,198.4668,143.235
7449875500,7,252.871,228.8436,152.876,248.923,150.2054
7449875600,1,107.8829,104.6783,9.681279,107.8758,9.642041
7449875600,2,128.5542,123.8141,25.41222,128.5103,25.35081
7449875600,3,154.1999,156.1381,47.9758,153.7957,47.23542
7449875600,4,199.5807,208.5377,67.51779,197.6791,65.33599
7449875600,5,204.0204,203.3924,124.9982,201.854,120.0111
7449875600,6,201.1238,207.143,152.5484,198.3934,143.237
7449875600,7,248.0482,230.039,149.1779,243.9678,150.2093
7449875700,1,110.0126,106.5717,9.68679,109.9757,9.616308
7449875700,2,129.6365,124.7307,25.48378,129.5404,25.30935
7449875700,3,156.4001,157.0728,47.79873,155.9551,47.1907
7449875700,4,202.85,208.0102,68.22767,201.2603,65.30141
7449875700,5,203.3312,206.4317,123.1909,201.4526,119.9966
7449875700,6,214.3248,215.4389,154.9568,211.6659,143.259
7449875700,7,247.3672,227.78,151.8391,243.5598,150.259
7449875800,1,109.1597,107.6151,9.662791,109.153,9.640573
7449875800,2,128.4905,123.6864,25.60143,128.3659,25.34842
7449875800,3,155.8966,156.6505,47.86638,155.4449,47.23281
7449875800,4,202.6057,211.1552,67.37617,201.225,65.33395
7449875800,5,204.7684,205.5038,124.6002,203.1636,120.0101
7449875800,6,202.7542,213.5432,150.8956,200.4148,143.2382
7449875800,7,243.2077,231.2278,154.8703,239.7589,150.212
7448970100,1,133.4131,135.2353,6.575781,133.4816,6.463008
7448970100,2,146.2759,146.1964,12.47539,145.6646,12.19704
7448970100,3,150.151,164.1499,20.25118,149.5035,20.46257
7448970100,4,180.3794,194.116,28.16783,179.4762,27.20189
7448970100,5,201.6238,204.8182,43.34631,200.2273,41.76873
7448970100,6,213.0162,227.8632,48.25682,211.7888,47.23262
7448970100,7,237.8295,268.3984,43.44403,236.446,44.16318
7448970200,1,117.7663,139.3608,6.441288,117.8084,6.452061
7448970200,2,137.8096,152.1616,12.32717,137.6951,12.18364
7448970200,3,151.2454,169.4009,20.52135,150.8493,20.44994
7448970200,4,181.5567,191.9733,28.0583,180.6897,27.19407
7448970200,5,201.5983,203.5319,42.95362,200.0746,41.7687
7448970200,6,214.854,243.214,47.50149,213.3833,47.24203
7448970200,7,242.1083,251.55,48.23325,240.4815,44.17732
7448970300,1,120.3083,132.2904,6.453719,120.3673,6.460486
7448970300,2,139.3558,146.7067,12.25,139.2918,12.19396
7448970300,3,153.2278,164.8293,20.42452,152.9655,20.45967
7448970300,4,181.5963,193.6524,27.11592,181.5065,27.20011
7448970300,5,200.9426,202.2339,43.37575,199.6098,41.76876
7448970300,6,218.2337,237.1369,47.49427,216.6742,47.23478
7448970300,7,256.8545,254.6956,48.30801,255.1432,44.16643
7448970500,1,135.9141,154.4374,7.387539,135.9328,7.442762
7448970500,2,148.7729,165.3346,13.60705,148.8716,13.80362
7448970500,3,164.7403,170.9745,22.36421,164.8411,22.47145
7448970500,4,182.8737,185.7762,31.08808,182.837,31.12589
7448970500,5,184.2824,191.1463,51.40098,183.4883,50.32526
7448970500,6,199.5213,201.1901,60.72599,198.3528,58.91775
7448970500,7,251.6942,237.3441,59.57587,249.4449,57.2971
7448970700,1,133.5012,129.158,8.147795,133.4702,8.0254
7448970700,2,145.3023,142.43,15.92122,145.0583,15.72247
7448970700,3,150.3126,152.839,27.18612,149.9394,27.27629
7448970700,4,180.366,174.1073,36.4863,179.6323,35.34298
7448970700,5,186.2213,172.5273,57.63621,184.9353,56.28214
7448970700,6,181.7534,177.3878,64.32431,180.2926,63.0814
7448970700,7,232.7783,232.688,59.43203,231.425,56.84348
7448970800,1,126.0778,125.035,8.09502,126.0242,8.009891
7448970800,2,142.7751,138.5743,15.86542,142.6366,15.70283
7448970800,3,148.6312,150.491,27.21818,148.3421,27.25752
7448970800,4,176.7845,176.2333,35.40738,176.4744,35.33149
7448970800,5,181.8955,172.0648,57.71194,180.8489,56.28234
7448970800,6,178.9741,173.052,64.75877,177.6932,63.09579
7448970800,7,226.6532,214.9145,59.56053,225.4613,56.86366
7448970900,1,132.0834,126.5209,7.878786,132.0865,7.793644
7448970900,2,142.7049,140.4594,15.37083,142.7125,15.46435
7448970900,3,151.9292,150.2668,26.39582,151.2516,25.8959
7448970900,4,169.1275,173.1429,33.16161,168.624,33.63204
7448970900,5,180.6637,174.8291,56.18323,179.7831,55.28669
7448970900,6,178.9536,181.9922,66.64834,177.7987,65.35564
7448970900,7,227.532,211.7079,61.44398,225.3355,57.65752
7448971000,1,130.729,119.858,7.892409,130.7593,7.809641
7448971000,2,137.4773,131.8959,15.48963,137.4036,15.48493
7448971000,3,149.3976,143.7999,26.50002,148.7135,25.91566
7448971000,4,169.0424,170.7904,33.36134,168.2794,33.64503
7448971000,5,180.3718,173.492,55.64146,179.4193,55.28819
7448971000,6,179.8394,181.5865,66.40745,178.6194,65.34045
7448971000,7,234.2519,207.3609,61.62433,230.9998,57.63614
7448971100,1,131.846,127.1812,7.839241,131.843,7.790054
7448971100,2,142.8624,140.4511,15.43657,142.8681,15.45973
7448971100,3,151.7252,151.5834,26.07848,151.3604,25.89147
7448971100,4,170.1818,176.1837,33.50843,169.7106,33.62912
7448971100,5,178.9845,175.8084,56.88487,178.0303,55.28634
7448971100,6,179.6341,184.5771,67.22556,178.3958,65.35904
7448971100,7,224.976,218.082,59.65073,222.6464,57.66235
7448971200,1,129.7852,127.0424,7.804692,129.7753,7.785938
7448971200,2,140.808,139.8938,15.39102,140.9769,15.45445
7448971200,3,150.1447,149.5925,26.33582,149.6484,25.88643
7448971200,4,177.2836,175.9408,34.83279,176.3067,33.62576
7448971200,5,177.7422,178.9378,55.91245,176.635,55.28588
7448971200,6,182.6972,190.6865,68.15576,181.3708,65.36288
7448971200,7,231.4872,231.0428,60.48605,228.9818,57.66785
7448971800,1,127.534,125.1418,7.116322,127.4873,7.00737
7448971800,2,136.3689,136.7753,12.19064,136.2964,12.28999
7448971800,3,148.5543,143.7852,19.47691,147.9731,19.12655
7448971800,4,163.8135,170.1914,25.25105,163.3116,25.61886
7448971800,5,170.3466,170.037,41.4068,169.3084,40.16312
7448971800,6,184.0873,180.546,47.27402,182.7369,45.99424
7448971800,7,218.8744,198.068,46.2583,216.2406,44.1233
7448971900,1,129.3335,125.6985,7.102819,129.3516,7.041847
7448971900,2,136.1984,133.6138,12.29439,136.1471,12.33023
7448971900,3,147.078,142.3213,19.27205,146.6978,19.16374
7448971900,4,166.6966,167.7422,25.49602,166.4576,25.64325
7448971900,5,171.7074,168.5537,41.37354,171.4863,40.16448
7448971900,6,183.2995,179.8786,47.68112,182.7103,45.96564
7448971900,7,215.9063,195.7487,46.30272,213.6199,44.07799
7448972000,1,131.8598,124.3446,6.65736,131.8996,6.597569
7448972000,2,145.9556,134.4161,11.67193,145.7818,11.55155
7448972000,3,146.5668,142.3385,18.00331,146.042,17.95255
7448972000,4,164.9524,170.0674,23.79203,164.5391,24.02158
7448972000,5,174.3196,170.6502,38.57058,173.756,37.62318
7448972000,6,181.3994,182.1841,44.93184,180.6052,43.05616
7448972000,7,210.3725,201.9318,43.58584,208.5258,41.28734
7448972100,1,132.743,126.1738,6.643518,132.768,6.590744
7448972100,2,145.0601,136.2705,11.59426,144.9094,11.54358
7448972100,3,146.7487,142.8728,18.08519,146.2892,17.94519
7448972100,4,166.8179,172.1756,23.70012,166.2631,24.01674
7448972100,5,171.8407,170.424,38.24496,171.1082,37.62292
